team,gameid,date,home,pts,ppm,poss,tov_rate,reb_rate,oreb_rate,dreb_rate,efpg,tsp,off_eff,def_eff
LAC,22100064,2021-10-27,True,79.0,1.6458333333333333,99.5,0.1407035175879397,0.3893805309734513,0.2033898305084746,0.5925925925925926,0.4080459770114942,0.395,0.7939698492462312,0.9246231155778896
CLE,22100064,2021-10-27,False,92.0,1.9166666666666667,99.5,0.2110552763819095,0.6106194690265486,0.4074074074074074,0.7966101694915254,0.4259259259259259,0.4259259259259259,0.9246231155778896,0.7939698492462312
PHI,22100065,2021-10-28,True,110.0,2.2916666666666665,103.5,0.2028985507246377,0.5252525252525253,0.2926829268292683,0.6896551724137931,0.5789473684210527,0.55,1.0628019323671498,0.9855072463768116
DET,22100065,2021-10-28,False,102.0,2.125,103.5,0.1352657004830917,0.4747474747474747,0.3103448275862069,0.7073170731707317,0.4825581395348837,0.4513274336283185,0.9855072463768116,1.0628019323671498
WAS,22100066,2021-10-28,True,122.0,2.5416666666666665,110.0,0.0818181818181818,0.5588235294117647,0.3389830508474576,0.8604651162790697,0.5303030303030303,0.5083333333333333,1.1090909090909091,1.009090909090909
ATL,22100066,2021-10-28,False,111.0,2.3125,110.0,0.1181818181818181,0.4411764705882353,0.1395348837209302,0.6610169491525424,0.5795454545454546,0.5441176470588235,1.009090909090909,1.1090909090909091
CHI,22100067,2021-10-28,True,103.0,2.145833333333333,96.5,0.0725388601036269,0.44,0.1923076923076923,0.7083333333333334,0.494047619047619,0.4858490566037736,1.067357512953368,1.077720207253886
NYK,22100067,2021-10-28,False,104.0,2.1666666666666665,96.5,0.1347150259067357,0.56,0.2916666666666667,0.8076923076923077,0.5235294117647059,0.4952380952380952,1.077720207253886,1.067357512953368
HOU,22100068,2021-10-28,True,91.0,1.8958333333333333,110.5,0.0995475113122171,0.376068376068376,0.2857142857142857,0.4814814814814814,0.3736842105263158,0.3855932203389831,0.8235294117647058,1.104072398190045
UTA,22100068,2021-10-28,False,122.0,2.5416666666666665,110.5,0.1809954751131221,0.6239316239316239,0.5185185185185185,0.7142857142857143,0.5764705882352941,0.5304347826086957,1.104072398190045,0.8235294117647058
DAL,22100069,2021-10-28,True,104.0,2.1666666666666665,98.0,0.1326530612244898,0.5089285714285714,0.3333333333333333,0.6909090909090909,0.5617977528089888,0.5098039215686274,1.0612244897959184,1.010204081632653
